epoch | loss | sim_loss | var_loss | cov_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_cov_loss | val_feat_std | val_feat_norm
51 | 96.4490 | 0.9018 | 1.6474 | 48.9603 | 0.6407 | 14.8832 | 143.8942 | 0.7167 | 2.2034 | 119.7508 | 0.2532 | 15.1667
52 | 96.4497 | 0.9019 | 1.6474 | 48.9634 | 0.6407 | 14.8827 | 144.1900 | 0.7213 | 2.2050 | 120.0123 | 0.2514 | 15.2738
53 | 96.4438 | 0.9018 | 1.6474 | 48.9528 | 0.6407 | 14.8832 | 143.8189 | 0.7154 | 2.2049 | 119.5777 | 0.2515 | 15.1727
54 | 96.4440 | 0.9019 | 1.6473 | 48.9545 | 0.6407 | 14.8834 | 144.2328 | 0.7213 | 2.2054 | 120.0751 | 0.2511 | 15.2595
55 | 96.4420 | 0.9019 | 1.6473 | 48.9509 | 0.6408 | 14.8833 | 144.2291 | 0.7176 | 2.2055 | 120.2510 | 0.2509 | 15.2089
56 | 96.4453 | 0.9019 | 1.6473 | 48.9570 | 0.6408 | 14.8838 | 144.2834 | 0.7194 | 2.2064 | 120.2147 | 0.2501 | 15.2203
57 | 96.4439 | 0.9019 | 1.6473 | 48.9546 | 0.6408 | 14.8847 | 144.1031 | 0.7180 | 2.2067 | 119.9045 | 0.2497 | 15.2102
58 | 96.4461 | 0.9019 | 1.6473 | 48.9578 | 0.6407 | 14.8835 | 144.1293 | 0.7147 | 2.2064 | 120.1352 | 0.2500 | 15.1484
59 | 96.4501 | 0.9019 | 1.6474 | 48.9635 | 0.6407 | 14.8824 | 143.9237 | 0.7129 | 2.2057 | 119.8608 | 0.2509 | 15.1120
60 | 96.4467 | 0.9018 | 1.6474 | 48.9593 | 0.6407 | 14.8829 | 144.0109 | 0.7180 | 2.2059 | 119.7681 | 0.2506 | 15.2167
61 | 96.4463 | 0.9019 | 1.6473 | 48.9603 | 0.6408 | 14.8832 | 144.0179 | 0.7186 | 2.2065 | 119.7167 | 0.2500 | 15.2520
62 | 96.4427 | 0.9019 | 1.6473 | 48.9518 | 0.6407 | 14.8835 | 144.0780 | 0.7164 | 2.2061 | 119.9728 | 0.2504 | 15.1437
63 | 96.4429 | 0.9019 | 1.6473 | 48.9546 | 0.6408 | 14.8835 | 143.9968 | 0.7179 | 2.2054 | 119.7748 | 0.2511 | 15.1838
64 | 96.4448 | 0.9019 | 1.6472 | 48.9583 | 0.6409 | 14.8845 | 143.8625 | 0.7131 | 2.2050 | 119.7706 | 0.2514 | 15.1065
65 | 96.4434 | 0.9019 | 1.6473 | 48.9526 | 0.6407 | 14.8825 | 143.8188 | 0.7143 | 2.2054 | 119.5984 | 0.2511 | 15.1458
66 | 96.4464 | 0.9018 | 1.6474 | 48.9591 | 0.6407 | 14.8837 | 143.8432 | 0.7152 | 2.2053 | 119.6108 | 0.2511 | 15.1390
