epoch | loss | sim_loss | var_pred | var_target | var_ctx | cov_pred | cov_target | cov_ctx | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_var_ctx | val_cov_pred | val_cov_target | val_cov_ctx | val_feat_std | val_feat_std_ctx | val_feat_norm
68 | 20.9735 | 1.9023 | 0.0155 | 0.0101 | 0.0011 | 1.1612 | 0.0615 | 0.0596 | 0.9867 | 1.0290 | 7.8883 | 64.8689 | 1.0797 | 0.4235 | 0.3492 | 0.3185 | 19.6881 | 3.8892 | 3.2128 | 0.6153 | 0.7046 | 5.7865
69 | 20.9727 | 1.9024 | 0.0154 | 0.0101 | 0.0012 | 1.1612 | 0.0614 | 0.0595 | 0.9868 | 1.0288 | 7.8888 | 64.8931 | 1.0784 | 0.4240 | 0.3502 | 0.3192 | 19.6651 | 3.8892 | 3.2210 | 0.6147 | 0.7035 | 5.7808
70 | 20.9726 | 1.9022 | 0.0155 | 0.0101 | 0.0012 | 1.1614 | 0.0614 | 0.0595 | 0.9867 | 1.0284 | 7.8880 | 64.9331 | 1.0778 | 0.4240 | 0.3512 | 0.3200 | 19.6423 | 3.9084 | 3.2238 | 0.6145 | 0.7029 | 5.7762
71 | 20.9677 | 1.9016 | 0.0155 | 0.0101 | 0.0012 | 1.1614 | 0.0614 | 0.0595 | 0.9867 | 1.0281 | 7.8879 | 65.0011 | 1.0783 | 0.4243 | 0.3515 | 0.3218 | 19.6127 | 3.9309 | 3.2347 | 0.6142 | 0.7006 | 5.7722
72 | 20.9700 | 1.9016 | 0.0155 | 0.0101 | 0.0013 | 1.1619 | 0.0614 | 0.0595 | 0.9867 | 1.0277 | 7.8877 | 64.9834 | 1.0788 | 0.4246 | 0.3522 | 0.3217 | 19.5745 | 3.9189 | 3.2398 | 0.6139 | 0.7010 | 5.7693
73 | 20.9654 | 1.9012 | 0.0155 | 0.0100 | 0.0013 | 1.1618 | 0.0613 | 0.0593 | 0.9866 | 1.0274 | 7.8872 | 65.0452 | 1.0787 | 0.4247 | 0.3532 | 0.3234 | 19.5619 | 3.9302 | 3.2313 | 0.6137 | 0.6992 | 5.7652
74 | 20.9625 | 1.9008 | 0.0156 | 0.0100 | 0.0013 | 1.1618 | 0.0612 | 0.0593 | 0.9866 | 1.0272 | 7.8870 | 65.0440 | 1.0779 | 0.4250 | 0.3540 | 0.3245 | 19.5188 | 3.9244 | 3.2325 | 0.6133 | 0.6980 | 5.7638
75 | 20.9627 | 1.9007 | 0.0156 | 0.0101 | 0.0013 | 1.1619 | 0.0612 | 0.0594 | 0.9866 | 1.0270 | 7.8869 | 65.0810 | 1.0768 | 0.4251 | 0.3552 | 0.3249 | 19.5120 | 3.9263 | 3.2427 | 0.6132 | 0.6973 | 5.7629
76 | 20.9618 | 1.9005 | 0.0156 | 0.0100 | 0.0014 | 1.1619 | 0.0612 | 0.0592 | 0.9866 | 1.0268 | 7.8867 | 65.0855 | 1.0753 | 0.4252 | 0.3556 | 0.3259 | 19.4844 | 3.9348 | 3.2474 | 0.6131 | 0.6963 | 5.7612
77 | 20.9603 | 1.9003 | 0.0156 | 0.0100 | 0.0014 | 1.1622 | 0.0612 | 0.0593 | 0.9866 | 1.0265 | 7.8867 | 65.1579 | 1.0769 | 0.4255 | 0.3560 | 0.3268 | 19.4625 | 3.9519 | 3.2667 | 0.6128 | 0.6953 | 5.7596
